	chr	geneID	txID	strand	bins
89742	9	ENSG00000136930	ENST00000498485	-	561242,561243,561241,561240,561238,561239,561234,561230,561228
89743	9	ENSG00000136930	ENST00000259457	-	561245,561241,561240,561238,561239,561237,561234,561230,561228
89744	9	ENSG00000136930	ENST00000536392	-	561245,561246,561241,561240,561238,561239,561234,561229,561230
89745	9	ENSG00000136930	ENST00000474081	-	561234,561233,561231,561232
89746	9	ENSG00000136930	ENST00000478817	-	561234,561232
89747	9	ENSG00000136930	ENST00000441097	-	561245,561246,561247,561241,561240,561238,561239,561237,561236,561235
89748	9	ENSG00000136930	ENST00000466951	-	561243,561244,561241,561240,561239
